subject_id,baseline,endline,TOL_move_count1_bl,TOL_RT1_bl,TOL_move_count2_bl,TOL_RT2_bl,TOL_move_count3_bl,TOL_RT3_bl,TOL_move_count4_bl,TOL_RT4_bl,TOL_minimum_moves1_bl,TOL_minimum_moves2_bl,TOL_minimum_moves3_bl,TOL_minimum_moves4_bl,TOL_total_bl,land_ownership_bl,water_treatment_bl,water_treatment_frequency_bl,chlorinelastmonth_bl,treatment_actual,children_rec,education_rec,village_id,treatment,treatment0,treatment1,treatment2,treatment3,employed,married,age,BADS_RT1_end,BADS_RT2_end,BADS_RT3_end,BADS_RT4_end,BADS_RT5_end,BADS_RT6_end,BADS_RT7_end,BADS_RT8_end,BADS_RT9_end,BADS_response1_end,BADS_response2_end,BADS_response3_end,BADS_response4_end,BADS_response5_end,BADS_response6_end,BADS_response7_end,BADS_response8_end,BADS_response9_end,water_treatment_end,water_treatment_frequency_end,chlorinelastmonth_end,TOL_move_count1_end,TOL_RT1_end,TOL_move_count2_end,TOL_RT2_end,TOL_move_count3_end,TOL_RT3_end,TOL_move_count4_end,TOL_RT4_end,TOL_pass1_end,TOL_pass2_end,TOL_pass3_end,TOL_pass4_end,TOL_pass_total_end,TOL_total_end,BADS_AC_SS_end,BADS_AV_SS_end,BADS_scale_end,water_treatment_binary_end,work_hrs_daily_end,work_days_perwk_end,earnings_1wk_total_end,chlorine_treatment_end,tcr_end
151508,0,0,,,,,,,,,,,,,,,,,,,1,Primary,71,2,0,0,1,0,0,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151515,0,0,,,,,,,,,,,,,,,,,,,3,Primary,54,1,0,1,0,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151516,0,0,,,,,,,,,,,,,,,,,,,6,Primary,6,0,1,0,0,0,0,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151517,0,0,,,,,,,,,,,,,,,,,,,1,Primary,18,2,0,0,1,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151520,0,0,,,,,,,,,,,,,,,,,,,1,Primary,18,3,0,0,0,1,0,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151523,1,1,1,4.8119998,10,48.765999,2,14.047,9,113.594,1,2,2,4,22,Yes,Chlorine,Occasionally,Yes,3,2,Secondary,6,0,1,0,0,0,0,1,22,258.43701,97.671997,62.547001,50.563,49.452999,39.797001,15,32.405998,8.5469999,2,3,1,5,2,7,7,1,7,Chlorine,Always,Yes,1,8.7349997,2,13.219,2,12.578,10,45.5,1,1,1,0,3,15,13,11,24,1,3,4,0,No,0
151525,0,0,,,,,,,,,,,,,,,,,,,3,College,63,2,0,0,1,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151526,0,0,,,,,,,,,,,,,,,,,,,1,College,58,2,0,0,1,0,0,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151529,0,0,,,,,,,,,,,,,,,,,,,2,Secondary,65,3,0,0,0,1,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151536,0,0,,,,,,,,,,,,,,,,,,,1,None,79,3,0,0,0,1,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151537,0,0,,,,,,,,,,,,,,,,,,,2,Secondary,47,2,0,0,1,0,1,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151542,0,0,,,,,,,,,,,,,,,,,,,0,Unwilling to Say,62,2,0,0,1,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151543,0,0,,,,,,,,,,,,,,,,,,,3,University,50,0,1,0,0,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151605,0,1,,,,,,,,,,,,,,,,,,,4,Primary,31,0,1,0,0,0,1,1,30,359.10901,39.905998,20.172001,15.297,22.358999,20.860001,101.5,22.639999,61.827999,3,3,1,5,7,5,5,5,5,Chlorine,Always,Yes,1,21.282,10,154.453,10,212.235,10,173.75,1,0,0,0,1,31,16,10,26,1,8,6,500,No,0
